dataset,train_share,test_loss,test_acc
citeseer,0.1,0.833,0.751
citeseer,0.1,0.837,0.752
citeseer,0.1,0.862,0.735
citeseer,0.1,0.865,0.735
citeseer,0.1,0.868,0.737
citeseer,0.1,0.871,0.735
citeseer,0.1,0.871,0.746
citeseer,0.1,0.871,0.752
citeseer,0.1,0.878,0.752
citeseer,0.1,0.880,0.722
citeseer,0.1,0.880,0.733
citeseer,0.1,0.883,0.728
citeseer,0.1,0.885,0.748
citeseer,0.1,0.886,0.738
citeseer,0.1,0.888,0.716
citeseer,0.1,0.891,0.732
citeseer,0.1,0.892,0.734
citeseer,0.1,0.893,0.723
citeseer,0.1,0.895,0.736
citeseer,0.1,0.899,0.724
citeseer,0.1,0.904,0.735
citeseer,0.1,0.905,0.728
citeseer,0.1,0.905,0.729
citeseer,0.1,0.906,0.724
citeseer,0.1,0.907,0.732
citeseer,0.1,0.910,0.725
citeseer,0.1,0.910,0.739
citeseer,0.1,0.912,0.745
citeseer,0.1,0.913,0.730
citeseer,0.1,0.914,0.719
citeseer,0.1,0.914,0.735
citeseer,0.1,0.915,0.732
citeseer,0.1,0.917,0.712
citeseer,0.1,0.918,0.739
citeseer,0.1,0.919,0.723
citeseer,0.1,0.919,0.728
citeseer,0.1,0.920,0.725
citeseer,0.1,0.921,0.706
citeseer,0.1,0.921,0.711
citeseer,0.1,0.922,0.725
citeseer,0.1,0.924,0.716
citeseer,0.1,0.926,0.709
citeseer,0.1,0.929,0.712
citeseer,0.1,0.929,0.717
citeseer,0.1,0.929,0.722
citeseer,0.1,0.930,0.720
citeseer,0.1,0.932,0.714
citeseer,0.1,0.933,0.714
citeseer,0.1,0.934,0.714
citeseer,0.1,0.935,0.721
citeseer,0.1,0.936,0.709
citeseer,0.1,0.937,0.723
citeseer,0.1,0.939,0.714
citeseer,0.1,0.941,0.719
citeseer,0.1,0.941,0.727
citeseer,0.1,0.942,0.723
citeseer,0.1,0.944,0.716
citeseer,0.1,0.944,0.719
citeseer,0.1,0.945,0.717
citeseer,0.1,0.947,0.717
citeseer,0.1,0.949,0.733
citeseer,0.1,0.950,0.742
citeseer,0.1,0.951,0.718
citeseer,0.1,0.954,0.713
citeseer,0.1,0.955,0.681
citeseer,0.1,0.955,0.723
citeseer,0.1,0.955,0.727
citeseer,0.1,0.957,0.722
citeseer,0.1,0.958,0.708
citeseer,0.1,0.958,0.732
citeseer,0.1,0.959,0.722
citeseer,0.1,0.960,0.732
citeseer,0.1,0.961,0.720
citeseer,0.1,0.961,0.736
citeseer,0.1,0.962,0.727
citeseer,0.1,0.962,0.735
citeseer,0.1,0.966,0.718
citeseer,0.1,0.969,0.737
citeseer,0.1,0.972,0.726
citeseer,0.1,0.973,0.714
citeseer,0.1,0.973,0.722
citeseer,0.1,0.973,0.724
citeseer,0.1,0.975,0.734
citeseer,0.1,0.977,0.696
citeseer,0.1,0.978,0.722
citeseer,0.1,0.984,0.727
citeseer,0.1,0.987,0.707
citeseer,0.1,0.988,0.705
citeseer,0.1,0.992,0.712
citeseer,0.1,0.998,0.712
citeseer,0.1,1.001,0.717
citeseer,0.1,1.004,0.708
citeseer,0.1,1.005,0.728
citeseer,0.1,1.011,0.721
citeseer,0.1,1.014,0.719
citeseer,0.1,1.020,0.710
citeseer,0.1,1.031,0.719
citeseer,0.1,1.040,0.717
citeseer,0.1,1.047,0.694
citeseer,0.1,1.063,0.708
cora,0.1,0.488,0.854
cora,0.1,0.489,0.847
cora,0.1,0.496,0.846
cora,0.1,0.499,0.859
cora,0.1,0.500,0.846
cora,0.1,0.504,0.844
cora,0.1,0.506,0.845
cora,0.1,0.511,0.849
cora,0.1,0.512,0.849
cora,0.1,0.514,0.843
cora,0.1,0.514,0.847
cora,0.1,0.514,0.847
cora,0.1,0.515,0.843
cora,0.1,0.515,0.848
cora,0.1,0.516,0.843
cora,0.1,0.517,0.848
cora,0.1,0.517,0.849
cora,0.1,0.520,0.843
cora,0.1,0.520,0.849
cora,0.1,0.521,0.849
cora,0.1,0.522,0.832
cora,0.1,0.522,0.834
cora,0.1,0.522,0.846
cora,0.1,0.525,0.837
cora,0.1,0.526,0.844
cora,0.1,0.529,0.841
cora,0.1,0.531,0.832
cora,0.1,0.531,0.835
cora,0.1,0.532,0.836
cora,0.1,0.533,0.835
cora,0.1,0.533,0.837
cora,0.1,0.534,0.843
cora,0.1,0.534,0.844
cora,0.1,0.535,0.831
cora,0.1,0.537,0.831
cora,0.1,0.537,0.838
cora,0.1,0.538,0.845
cora,0.1,0.540,0.838
cora,0.1,0.542,0.839
cora,0.1,0.544,0.836
cora,0.1,0.545,0.836
cora,0.1,0.546,0.838
cora,0.1,0.546,0.839
cora,0.1,0.546,0.842
cora,0.1,0.547,0.841
cora,0.1,0.548,0.832
cora,0.1,0.548,0.837
cora,0.1,0.548,0.844
cora,0.1,0.548,0.844
cora,0.1,0.549,0.834
cora,0.1,0.550,0.827
cora,0.1,0.551,0.832
cora,0.1,0.551,0.834
cora,0.1,0.551,0.836
cora,0.1,0.552,0.841
cora,0.1,0.553,0.832
cora,0.1,0.553,0.838
cora,0.1,0.554,0.834
cora,0.1,0.554,0.835
cora,0.1,0.554,0.836
cora,0.1,0.557,0.838
cora,0.1,0.557,0.842
cora,0.1,0.559,0.836
