dataset,train_share,test_loss,test_acc
pubmed,0.3,0.381,0.860
pubmed,0.3,0.382,0.859
pubmed,0.3,0.383,0.856
pubmed,0.3,0.383,0.858
pubmed,0.3,0.386,0.853
pubmed,0.3,0.386,0.854
pubmed,0.3,0.386,0.855
pubmed,0.3,0.386,0.855
pubmed,0.3,0.387,0.853
pubmed,0.3,0.388,0.857
pubmed,0.3,0.389,0.856
pubmed,0.3,0.389,0.856
pubmed,0.3,0.391,0.852
pubmed,0.3,0.393,0.851
pubmed,0.3,0.393,0.853
pubmed,0.4,0.367,0.865
pubmed,0.4,0.373,0.866
pubmed,0.4,0.374,0.859
pubmed,0.4,0.374,0.863
pubmed,0.4,0.377,0.862
pubmed,0.4,0.378,0.859
pubmed,0.4,0.378,0.861
pubmed,0.4,0.379,0.858
pubmed,0.4,0.379,0.861
pubmed,0.4,0.380,0.861
pubmed,0.4,0.381,0.858
pubmed,0.4,0.381,0.860
pubmed,0.4,0.381,0.861
pubmed,0.4,0.382,0.860
pubmed,0.4,0.383,0.857
pubmed,0.4,0.384,0.856
pubmed,0.4,0.384,0.857
pubmed,0.4,0.384,0.858
pubmed,0.4,0.386,0.851
pubmed,0.4,0.386,0.853
pubmed,0.5,0.359,0.864
pubmed,0.5,0.362,0.863
pubmed,0.5,0.364,0.860
pubmed,0.5,0.366,0.864
pubmed,0.5,0.367,0.866
pubmed,0.5,0.367,0.867
pubmed,0.5,0.368,0.863
pubmed,0.5,0.369,0.862
pubmed,0.5,0.371,0.862
pubmed,0.5,0.372,0.862
pubmed,0.5,0.372,0.866
pubmed,0.5,0.373,0.861
pubmed,0.5,0.373,0.861
pubmed,0.5,0.373,0.863
pubmed,0.5,0.375,0.859
pubmed,0.5,0.375,0.862
pubmed,0.5,0.377,0.859
pubmed,0.5,0.378,0.860
pubmed,0.5,0.378,0.864
pubmed,0.5,0.386,0.851
pubmed,0.6,0.357,0.862
pubmed,0.6,0.361,0.862
pubmed,0.6,0.363,0.862
pubmed,0.6,0.364,0.861
pubmed,0.6,0.365,0.866
pubmed,0.6,0.368,0.860
pubmed,0.6,0.369,0.863
pubmed,0.6,0.369,0.865
pubmed,0.6,0.373,0.859
pubmed,0.6,0.374,0.861
pubmed,0.6,0.374,0.862
pubmed,0.6,0.375,0.857
pubmed,0.6,0.375,0.863
pubmed,0.6,0.376,0.861
pubmed,0.6,0.376,0.863
pubmed,0.6,0.377,0.856
pubmed,0.6,0.377,0.862
pubmed,0.6,0.382,0.857
pubmed,0.6,0.383,0.857
pubmed,0.6,0.389,0.859
pubmed,0.7,0.354,0.869
pubmed,0.7,0.357,0.874
pubmed,0.7,0.358,0.868
pubmed,0.7,0.360,0.874
pubmed,0.7,0.364,0.859
pubmed,0.7,0.365,0.866
pubmed,0.7,0.368,0.867
pubmed,0.7,0.369,0.861
pubmed,0.7,0.369,0.865
pubmed,0.7,0.370,0.864
pubmed,0.7,0.372,0.864
pubmed,0.7,0.374,0.868
pubmed,0.7,0.375,0.861
pubmed,0.7,0.376,0.865
pubmed,0.7,0.377,0.861
pubmed,0.7,0.379,0.865
pubmed,0.7,0.382,0.861
pubmed,0.7,0.382,0.865
pubmed,0.7,0.383,0.858
pubmed,0.7,0.392,0.857
pubmed,0.8,0.335,0.878
pubmed,0.8,0.336,0.875
pubmed,0.8,0.344,0.871
pubmed,0.8,0.351,0.875
pubmed,0.8,0.353,0.870
pubmed,0.8,0.355,0.873
pubmed,0.8,0.359,0.867
pubmed,0.8,0.360,0.866
pubmed,0.8,0.362,0.870
pubmed,0.8,0.364,0.869
pubmed,0.8,0.365,0.861
pubmed,0.8,0.370,0.861
pubmed,0.8,0.371,0.865
pubmed,0.8,0.373,0.853
pubmed,0.8,0.376,0.869
pubmed,0.8,0.377,0.863
pubmed,0.8,0.385,0.862
pubmed,0.8,0.388,0.858
pubmed,0.8,0.391,0.859
pubmed,0.8,0.396,0.850
